URL,Video Title,Channel Title,Views,Likes,Dislikes,Comments,Date,Duration,Definition,Captions,Licensed Content
https://www.youtube.com/watch?v=GwTX17g6m7w,Inside Portland ICU As Health Care Workers Struggle To Keep Up With Covid Surge,NBC News,40504,439,219,707,8/25/2021,1 minutes 55 seconds,hd,Yes,No
https://www.youtube.com/watch?v=LU5HyKoAa20,Overwhelmed: Inside Oregon's ICUs | 'We see no end' | Full special report,KGW News,267147,5316,292,3541,8/26/2021,25 minutes 4 seconds,hd,No,No
https://www.youtube.com/watch?v=59g8xaKheCs,"Despite rising COVID-19 cases in Oregon, still no statewide mandates issued",KGW News,1423,16,11,11,8/4/2021,2 minutes 22 seconds,hd,No,No
https://www.youtube.com/watch?v=evQ9WcEru6A,How Portland's homeless are handling COVID-19,KGW News,4671,55,7,43,6/27/2020,4 minutes 36 seconds,hd,Yes,No
https://www.youtube.com/watch?v=L4ZWj3RWFZk,Why is Oregon’s COVID case count getting national attention?,KGW News,4024,35,24,30,5/7/2021,3 minutes 48 seconds,hd,Yes,No
https://www.youtube.com/watch?v=Rb_JyvM6idQ,Exhausted health care workers call delta surge ‘hardest time’ of the pandemic,The Oregonian,430460,0,0,0,8/27/2021,9 minutes 50 seconds,hd,Yes,No
https://www.youtube.com/watch?v=T04uJdXk4Yg,Portland biology professor says number of breakthrough cases 'not at all surprising',KPTV FOX 12 Oregon,898,10,11,29,10/8/2021,3 minutes 9 seconds,hd,No,No
