URL,Video Title,Channel Title,Views,Likes,Dislikes,Comments,Date,Duration,Definition,Captions,Licensed Content
https://www.youtube.com/watch?v=oOFr2lFCS7A,YouTube takes down St. Louis County Council meeting for COVID-19 misinformation,KMOV St. Louis,1438,19,3,27,9/15/2021,47 seconds,hd,No,No
https://www.youtube.com/watch?v=zTxSgtPnN2o,St. Louis County Executive Page discusses COVID-19 cases in schools,KSDK News,407,3,3,2,9/8/2021,9 minutes 4 seconds,hd,No,No
https://www.youtube.com/watch?v=Y24Ol2AdYcA,St. Louis County Executive Page gives COVID-19 update,KSDK News,426,8,1,0,9/20/2021,15 minutes 59 seconds,hd,No,No
https://www.youtube.com/watch?v=zoaJXIqO9uQ,"St. Louis task force holds COVID-19 briefing as schools deal with cases, quarantine",KSDK News,229,2,1,3,9/9/2021,24 minutes 14 seconds,hd,No,No
https://www.youtube.com/watch?v=nixU_xAH2ws,"St. Louis County schools report hundreds of COVID cases, quarantines",KSDK News,101,2,1,0,9/9/2021,2 minutes 5 seconds,hd,Yes,No
https://www.youtube.com/watch?v=dDGuQA320pY,How Missouri's spike in COVID-19 cases impacts St. Louis area,KSDK News,528,4,1,6,6/25/2021,1 minutes 54 seconds,hd,Yes,No
https://www.youtube.com/watch?v=ERFJu9AG8tA,Vaccine and COVID disparities in St. Louis County,KSDK News,519,2,2,2,8/4/2021,19 minutes 47 seconds,hd,No,No
